,Itt,par,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14,par15,par16,par17,par18,par19,par20,par21,par22,par23,par24,par25,par26,par27,par28,par29,par30,par31,par32,par33,par34,par35,par36,par37,par38
691,54550,38,0.1401,6199,8549,7335,4050,1483,1.20E+04,1.03E+04,5750,2101,8994,5043,1863,2847,1058,407.3,167.3,421.1,541.6,595.9,423.2,210.9,1091,1392,1531,1075,543.1,1783,1942,1362,680.6,2261,1626,848,1192,631.6,349,126.8
692,54600,38,7.96E-02,5406,7585,6557,3658,1340,1.08E+04,9395,5284,1929,8225,4652,1708,2646,973.4,365.9,159.3,394,509.1,555.9,400.5,196.4,1002,1288,1386,981.4,480.4,1658,1779,1260,614,2006,1455,730.2,1078,552.1,292.6,126.3
693,54650,38,0.2712,6960,9792,8436,4702,1715,1.39E+04,1.21E+04,6764,2460,1.05E+04,5905,2159,3340,1224,457,156.6,371,478.3,580.9,432.6,219.1,919.7,1174,1407,1021,514.1,1504,1794,1307,655.8,2269,1679,864.8,1269,662.6,354.2,125.9
694,54700,38,5.18E-02,7181,1.02E+04,8846,4954,1755,1.47E+04,1.28E+04,7175,2539,1.11E+04,6262,2230,3546,1267,462.4,152.6,370.7,483.8,516,363.2,166.3,945.6,1221,1286,876.2,400.2,1581,1657,1135,515,1850,1298,616.7,936.8,453.8,229.5,125
695,54750,38,0.2401,8013,1.11E+04,9501,5226,1763,1.56E+04,1.34E+04,7392,2502,1.15E+04,6400,2186,3573,1229,435.5,103.4,236.3,311.6,350,254.8,117.1,588.8,763.2,822.1,565.4,255,994.2,1066,739,331.2,1285,934.1,449.1,709.3,351,182.4,125.7
696,54800,38,7.76E-02,5179,7111,6059,3311,1093,9875,8463,4659,1544,7303,4046,1361,2257,767.5,276.4,147.9,341.4,454.4,467.6,328.8,141.8,836.8,1099,1104,751.2,325.7,1448,1454,995.6,428.5,1547,1083,483.7,777.2,352.2,168.5,124.7
697,54850,38,0.178,9334,1.25E+04,1.05E+04,5599,1752,1.69E+04,1.42E+04,7596,2379,1.19E+04,6413,2034,3466,1110,376.6,155.1,341,453.8,510.9,385.1,176.3,789.5,1038,1146,839.2,383.9,1371,1509,1110,504.9,1762,1323,624.4,1017,487.9,244.8,124
698,54900,38,0.1599,7192,9849,8289,4493,1466,1.36E+04,1.15E+04,6252,2048,9737,5328,1768,2929,981.9,346.7,144.6,324.5,432.5,466,339,155.4,793,1032,1106,779,365.9,1354,1442,1022,473.3,1627,1174,567.6,865,423.7,221.3,125.2
699,54950,38,0.2386,8353,1.14E+04,9506,5108,1582,1.57E+04,1.31E+04,7089,2201,1.10E+04,5959,1866,3241,1023,336.5,128.8,264.1,362.2,382.4,291,129.7,610.1,808.7,849.6,611,277,1083,1127,821.7,366,1282,950,458.9,728.8,358.3,193.6,126.6
700,55000,38,4.18E-02,8560,1.17E+04,9716,5214,1626,1.63E+04,1.35E+04,7294,2267,1.13E+04,6094,1910,3316,1044,345.4,167.5,327.9,453.9,502.6,387.6,175.9,729.8,970.8,1082,794.2,374.4,1308,1447,1078,499.9,1668,1243,594.3,948.1,451.8,225.9,125.1
701,55050,38,5.97E-02,9829,1.34E+04,1.12E+04,6011,1932,1.84E+04,1.54E+04,8309,2673,1.29E+04,6989,2269,3803,1243,423.1,209.3,406.1,562.2,640.1,492,228.6,870,1167,1337,994.5,479.7,1581,1800,1352,642.1,2129,1599,778.9,1218,590.8,299.2,126.4
702,55100,38,0.2202,7792,1.06E+04,8682,4628,1501,1.45E+04,1.20E+04,6444,2099,9945,5374,1771,2923,973.3,343.3,232,450.1,625.7,701.2,525.7,230,937.5,1274,1435,1049,472.3,1744,1954,1440,640.1,2249,1659,756.3,1237,563.5,268.5,125.9
703,55150,38,2.20E-02,7795,1.03E+04,8373,4379,1376,1.38E+04,1.12E+04,5914,1859,9184,4857,1550,2583,834.6,291,254.4,561,747.5,857.2,615.4,290,1315,1722,1966,1381,662.6,2268,2586,1826,869.5,3000,2130,1028,1529,740.8,371.5,124.9
704,55200,38,5.62E-03,7209,9473,7908,4205,1450,1.26E+04,1.06E+04,5647,1939,8883,4780,1666,2587,910.2,344,218.5,510,663.9,796.5,570.5,289.2,1283,1638,1939,1357,704.4,2103,2492,1753,902.3,3012,2135,1109,1529,795.7,427.9,126.1
705,55250,38,6.90E-02,4938,6373,5263,2757,934.3,8332,6888,3628,1208,5725,3027,1019,1608,543.7,205,210,441.7,592.7,703.3,530.6,267.3,1041,1354,1581,1140,583.1,1778,2074,1513,767.9,2523,1856,961.1,1395,724.1,388.2,123.5
706,55300,38,0.2076,5224,6818,5665,2993,1007,9026,7498,3985,1327,6250,3328,1118,1779,599.7,217.6,269.5,599.7,806.3,824.6,596.3,264.6,1433,1891,1924,1339,594.2,2508,2543,1786,788.1,2692,1908,878.1,1385,645.2,318,124.7
707,55350,38,0.1392,9264,1.24E+04,1.02E+04,5434,1796,1.67E+04,1.38E+04,7362,2422,1.14E+04,6123,2036,3290,1101,391.4,182.8,453.3,583.7,669.7,467.1,231.6,1235,1563,1701,1122,536.2,1986,2172,1445,692.6,2529,1752,884.3,1256,652.4,354,126.6
708,55400,38,0.3411,5399,7203,6121,3320,1221,9694,8245,4489,1642,7045,3848,1424,2109,785.6,310.4,159.9,401.2,520.6,550,372.8,171.1,1112,1411,1448,934.1,432.7,1801,1852,1206,554,1988,1328,634.3,914.1,442.8,228.3,125.1
709,55450,38,0.2132,8066,1.08E+04,9082,4903,1763,1.44E+04,1.22E+04,6599,2368,1.03E+04,5604,2025,3048,1107,419.3,151.7,343.2,454.6,511,366.2,170.9,854,1107,1202,820.9,381.2,1443,1571,1084,501.6,1797,1270,605.9,922.7,448.1,228.3,124.6
710,55500,38,8.07E-02,7111,9607,8135,4425,1608,1.31E+04,1.11E+04,6055,2197,9449,5178,1900,2848,1053,409.2,215.5,496.8,658.3,717.3,497.9,216,1212,1580,1724,1168,513.3,2071,2254,1535,670.3,2493,1706,758,1186,532.5,251,127.5
711,55550,38,5.25E-02,5457,7163,5920,3131,1078,9492,7855,4173,1422,6593,3538,1256,1914,696.2,291.3,325.8,789.3,1032,1119,761.2,336.1,1969,2552,2781,1873,838.6,3318,3604,2432,1083,3975,2686,1212,1827,828.3,388.9,127.2
712,55600,38,0.2165,3896,5019,4128,2163,782.2,6540,5414,2863,1039,4572,2456,930.5,1338,521.9,227.1,197.9,465.6,614,659,456.9,205.4,1143,1490,1598,1087,492.9,1949,2083,1423,640.7,2292,1578,732,1101,516.6,254.6,125.3
713,55650,38,0.1533,4717,6089,5095,2699,989,7949,6702,3584,1317,5735,3107,1176,1702,657.2,274.3,204.3,494.9,649.2,678.3,465.1,204.7,1229,1602,1663,1126,497,2093,2169,1471,645.7,2315,1587,718.6,1101,506.2,246,125.6
714,55700,38,0.4035,7600,9772,7981,4154,1459,1.27E+04,1.04E+04,5447,1926,8647,4583,1666,2454,910.9,361.7,176.5,447.4,581.1,605.2,396.8,163.5,1185,1526,1560,991.4,399.8,1969,2012,1285,516.7,2142,1401,596.1,941.8,415.6,200.6,125.3
715,55750,38,0.1289,8469,1.07E+04,8552,4345,1444,1.36E+04,1.10E+04,5654,1917,9049,4731,1671,2515,919.6,364.9,227.7,520.8,694.1,727.2,509.8,213.9,1259,1654,1722,1172,494.1,2182,2265,1551,648.1,2442,1695,746.7,1199,537.9,265.1,124.1
716,55800,38,3.48E-02,7458,9551,7731,3987,1342,1.24E+04,1.01E+04,5283,1809,8415,4463,1581,2403,875.5,342.4,195.8,413.4,563.3,594.9,432.9,178.5,987.9,1297,1391,963.2,430.1,1722,1830,1284,556.4,2025,1424,653,1025,463.1,236,124.9
717,55850,38,4.63E-02,9965,1.28E+04,1.04E+04,5376,1809,1.67E+04,1.36E+04,7066,2395,1.12E+04,5880,2039,3124,1103,413.5,211.4,505.3,658.9,742.7,521.2,245,1316,1677,1902,1290,632.3,2150,2423,1656,797.8,2835,1950,981.1,1365,687,375.4,126.2
718,55900,38,0.2848,1.13E+04,1.46E+04,1.19E+04,6191,2221,1.88E+04,1.54E+04,8074,2898,1.27E+04,6715,2447,3562,1313,507.7,191.3,427.5,570.7,619.8,444.4,194,1046,1363,1468,1007,446.8,1789,1922,1331,583.5,2146,1508,696.2,1087,507.7,261.3,124.2
719,55950,38,8.87E-02,1.13E+04,1.48E+04,1.22E+04,6368,2102,1.96E+04,1.61E+04,8476,2814,1.33E+04,7068,2387,3775,1293,469.3,191.8,449.9,588.9,672.4,475.4,219.6,1131,1452,1671,1148,548.3,1875,2144,1482,696.9,2531,1760,865.9,1243,614.1,330.9,126
720,56000,38,4.72E-02,9481,1.21E+04,9848,5097,1806,1.57E+04,1.28E+04,6645,2341,1.04E+04,5462,1946,2875,1031,393.1,211.3,438.3,594.2,676.3,507.3,229,1005,1324,1500,1074,496.5,1760,1987,1440,657.5,2322,1698,802.6,1271,602.2,305.3,126.2
