  ,Itt,par,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14,par15,par16,par17,par18,par19,par20,par21,par22,par23,par24,par25,par26,par27,par28
1714,105700,28,1.37E-04,8.27E-03,0.1836,0.3077,0.2214,0.1449,0.5203,0.3688,0.2461,0.2694,0.1691,0.1292,0.8209,1.048,1.019,0.5571,0.2581,1.352,1.289,0.7187,0.3069,1.274,0.6817,0.3368,0.3883,0.1631,0.1166,0.2417
1715,105750,28,6.93E-05,7.40E-03,0.1969,0.3234,0.2384,0.1546,0.5372,0.3886,0.2588,0.2931,0.1761,0.1512,0.8881,1.13,1.098,0.6137,0.2975,1.45,1.39,0.7844,0.3613,1.363,0.7526,0.3781,0.4313,0.2,0.1268,0.2414
1716,105800,28,1.38E-03,8.50E-03,0.1321,0.2163,0.1657,8.77E-02,0.3585,0.2692,0.1466,0.2116,0.1008,8.24E-02,1.235,1.55,1.523,0.8702,0.4394,1.962,1.899,1.1,0.5262,1.889,1.065,0.5589,0.6217,0.2979,0.1934,0.2431
1717,105850,28,6.29E-05,7.25E-03,0.1351,0.2299,0.1653,9.34E-02,0.396,0.2784,0.1641,0.2075,0.1014,9.80E-02,2.147,2.752,2.635,1.495,0.6642,3.54,3.372,1.919,0.834,3.24,1.83,0.8243,1.047,0.4591,0.2331,0.2398
1718,105900,28,1.02E-03,8.09E-03,0.2327,0.3952,0.2857,0.1635,0.676,0.4822,0.2823,0.3548,0.1913,0.139,1.817,2.396,2.198,1.278,0.4688,3.178,2.89,1.688,0.5919,2.665,1.542,0.5795,0.9025,0.3259,0.1605,0.2442
1719,105950,28,1.48E-03,7.40E-03,0.3056,0.512,0.3882,0.1822,0.8629,0.6493,0.3048,0.4951,0.2265,0.1235,1.573,2.048,1.932,1.077,0.4519,2.683,2.506,1.406,0.5637,2.379,1.318,0.5672,0.7438,0.3054,0.1668,0.2413
1720,106000,28,2.30E-03,7.06E-03,0.1581,0.2648,0.196,0.1075,0.451,0.3271,0.1778,0.247,0.1224,0.1073,1.793,2.287,2.194,1.269,0.5924,2.93,2.794,1.62,0.7377,2.69,1.55,0.7321,0.903,0.4188,0.2214,0.2407
1721,106050,28,6.83E-04,9.45E-03,0.1914,0.3309,0.2338,0.1348,0.5775,0.4029,0.2324,0.2882,0.1582,0.1141,2.112,2.733,2.569,1.496,0.6345,3.549,3.316,1.94,0.8022,3.132,1.814,0.782,1.067,0.4446,0.2176,0.2399
1722,106100,28,1.95E-04,9.26E-03,0.2048,0.354,0.2436,0.1646,0.6179,0.4204,0.2814,0.2934,0.1866,0.1612,2.312,2.835,2.931,1.546,0.9241,3.491,3.584,1.901,1.112,3.722,1.954,1.183,1.04,0.611,0.3993,0.2419
1723,106150,28,1.20E-04,9.61E-03,0.2246,0.3815,0.2633,0.195,0.6515,0.4457,0.3321,0.311,0.223,0.1841,3.394,4.222,4.292,2.249,1.264,5.273,5.327,2.806,1.544,5.436,2.838,1.614,1.496,0.8278,0.5104,0.2399
1724,106200,28,2.80E-04,6.90E-03,0.2332,0.4013,0.2757,0.1923,0.6964,0.4723,0.3311,0.3287,0.2217,0.1733,3.989,4.862,5.089,2.625,1.596,5.941,6.195,3.204,1.926,6.497,3.344,2.047,1.733,1.046,0.668,0.2418
1725,106250,28,8.24E-05,7.45E-03,0.2642,0.4672,0.3003,0.2382,0.8292,0.5301,0.4206,0.3441,0.2634,0.2376,3.595,4.369,4.599,2.351,1.439,5.32,5.584,2.859,1.735,5.887,3.003,1.847,1.542,0.938,0.5942,0.2445
1726,106300,28,1.15E-03,9.28E-03,0.2168,0.3844,0.2488,0.1881,0.6846,0.4399,0.3348,0.2882,0.2101,0.1792,2.451,2.968,3.15,1.588,1.007,3.61,3.805,1.928,1.198,4.055,2.036,1.305,1.035,0.6475,0.4407,0.2411
1727,106350,28,7.62E-06,1.05E-02,0.1958,0.3468,0.2218,0.1841,0.6165,0.3923,0.326,0.2537,0.2025,0.1895,2.161,2.657,2.763,1.4,0.8346,3.277,3.391,1.724,1.013,3.537,1.787,1.074,0.9105,0.5374,0.3385,0.2421
1728,106400,28,3.51E-05,9.95E-03,0.2864,0.5084,0.3352,0.236,0.9043,0.5942,0.4189,0.3942,0.2721,0.205,1.859,2.3,2.345,1.247,0.703,2.853,2.896,1.546,0.8587,2.963,1.569,0.8925,0.8412,0.4685,0.2792,0.2408
1729,106450,28,1.44E-04,8.01E-03,0.2829,0.5031,0.3268,0.2465,0.8981,0.5801,0.4383,0.3787,0.2828,0.2203,1.358,1.755,1.681,0.9197,0.4187,2.278,2.166,1.193,0.5289,2.086,1.134,0.525,0.6277,0.2796,0.1443,0.2406
1730,106500,28,9.61E-05,8.47E-03,0.2379,0.4175,0.2695,0.2274,0.7382,0.4713,0.3985,0.3066,0.256,0.2225,1.03,1.322,1.28,0.6936,0.3292,1.709,1.637,0.8953,0.4092,1.598,0.8558,0.4167,0.475,0.2177,0.1225,0.2432
1731,106550,28,2.52E-04,8.01E-03,0.2107,0.3595,0.2448,0.1983,0.6162,0.417,0.3367,0.2849,0.229,0.1916,0.4945,0.649,0.5992,0.3505,0.1453,0.8595,0.782,0.4626,0.181,0.731,0.4191,0.1806,0.2558,0.1012,5.53E-02,0.2422
1732,106600,28,2.15E-03,1.09E-02,0.2646,0.4481,0.3089,0.2477,0.7617,0.5228,0.4169,0.3612,0.2877,0.2384,0.7721,0.999,0.9385,0.5513,0.2491,1.3,1.209,0.7165,0.3125,1.147,0.6631,0.3075,0.4032,0.1759,9.34E-02,0.242
